period_end,rooftop_meas,rooftop_solcast
2023-01-01 00:00:00,1.0967679693782784,1.0967679693782784
2023-01-01 00:15:00,1.0926175479024183,1.0926175479024183
2023-01-01 00:30:00,1.1528693516858322,1.1528693516858322
2023-01-01 00:45:00,1.2016934001746182,1.2016934001746182
2023-01-01 01:00:00,1.230159144429836,1.230159144429836
2023-01-01 01:15:00,1.245092733790945,1.245092733790945
2023-01-01 01:30:00,1.25,1.25
2023-01-01 01:45:00,1.2256562943464855,1.2256562943464855
2023-01-01 02:00:00,1.1564949948760908,1.1564949948760908
2023-01-01 02:15:00,1.1909686927540108,1.1909686927540108
2023-01-01 02:30:00,1.154672527362852,1.154672527362852
2023-01-01 02:45:00,1.0586651226334098,1.0586651226334098
2023-01-01 03:00:00,1.135470015642214,1.135470015642214
2023-01-01 03:15:00,1.1653313220938124,1.1653313220938124
2023-01-01 03:30:00,1.0494528582677347,1.0494528582677347
2023-01-01 03:45:00,0.9878927423742453,0.9878927423742453
2023-01-01 04:00:00,1.017389524394102,1.017389524394102
2023-01-01 04:15:00,1.0121273902033479,1.0121273902033479
2023-01-01 04:30:00,1.039920037743388,1.039920037743388
2023-01-01 04:45:00,1.0012331226060187,1.0012331226060187
2023-01-01 05:00:00,0.9465647078015167,0.9465647078015167
2023-01-01 05:15:00,0.8879052209996129,0.8879052209996129
2023-01-01 05:30:00,0.8239871219769508,0.8239871219769508
2023-01-01 05:45:00,0.751339044108354,0.751339044108354
2023-01-01 06:00:00,0.6832133437399005,0.6832133437399005
2023-01-01 06:15:00,0.6091834003227836,0.6091834003227836
2023-01-01 06:30:00,0.5316704279381925,0.5316704279381925
2023-01-01 06:45:00,0.44696812286655346,0.44696812286655346
2023-01-01 07:00:00,0.35752880396053904,0.35752880396053904
2023-01-01 07:15:00,0.29052767579982186,0.29052767579982186
2023-01-01 07:30:00,0.23344703794005217,0.23344703794005217
2023-01-01 07:45:00,0.17038896885223007,0.17038896885223007
2023-01-01 08:00:00,0.132909631890426,0.132909631890426
2023-01-01 08:15:00,0.11498043524935372,0.11498043524935372
2023-01-01 08:30:00,0.07017186957674239,0.07017186957674239
2023-01-01 08:45:00,0.040706533356665506,0.040706533356665506
2023-01-01 09:00:00,0.012247312843941366,0.012247312843941366
2023-01-01 09:15:00,0.0,0.0
2023-01-01 09:30:00,0.0,0.0
2023-01-01 09:45:00,0.0,0.0
2023-01-01 10:00:00,0.0,0.0
2023-01-01 10:15:00,0.0,0.0
2023-01-01 10:30:00,0.0,0.0
2023-01-01 10:45:00,0.0,0.0
2023-01-01 11:00:00,0.0,0.0
2023-01-01 11:15:00,0.0,0.0
2023-01-01 11:30:00,0.0,0.0
2023-01-01 11:45:00,0.0,0.0
2023-01-01 12:00:00,0.0,0.0
2023-01-01 12:15:00,0.0,0.0
2023-01-01 12:30:00,0.0,0.0
2023-01-01 12:45:00,0.0,0.0
2023-01-01 13:00:00,0.0,0.0
2023-01-01 13:15:00,0.0,0.0
2023-01-01 13:30:00,0.0,0.0
2023-01-01 13:45:00,0.0,0.0
2023-01-01 14:00:00,0.0,0.0
2023-01-01 14:15:00,0.0,0.0
2023-01-01 14:30:00,0.0,0.0
2023-01-01 14:45:00,0.0,0.0
2023-01-01 15:00:00,0.0,0.0
2023-01-01 15:15:00,0.0,0.0
2023-01-01 15:30:00,0.0,0.0
2023-01-01 15:45:00,0.0,0.0
2023-01-01 16:00:00,0.0,0.0
2023-01-01 16:15:00,0.0,0.0
2023-01-01 16:30:00,0.0,0.0
2023-01-01 16:45:00,0.0,0.0
2023-01-01 17:00:00,0.0,0.0
2023-01-01 17:15:00,0.0,0.0
2023-01-01 17:30:00,0.0,0.0
2023-01-01 17:45:00,0.0,0.0
2023-01-01 18:00:00,0.0,0.0
2023-01-01 18:15:00,0.0,0.0
2023-01-01 18:30:00,0.0,0.0
2023-01-01 18:45:00,0.0,0.0
2023-01-01 19:00:00,0.0,0.0
2023-01-01 19:15:00,0.013628538310035961,0.013628538310035961
2023-01-01 19:30:00,0.03302866167788336,0.023806885500970307
2023-01-01 19:45:00,0.046485162084104574,0.030002390759853222
2023-01-01 20:00:00,0.055883603842309955,0.052428815484462224
2023-01-01 20:15:00,0.0652314459195816,0.09894052270060341
2023-01-01 20:30:00,0.07187271860502717,0.16139224472323246
2023-01-01 20:45:00,0.07712680940753003,0.2346978124318054
2023-01-01 21:00:00,0.08106452558286668,0.314347177276878
2023-01-01 21:15:00,0.08499322504672775,0.3980260957902853
2023-01-01 21:30:00,0.08758274355625822,0.48122957700389063
2023-01-01 21:45:00,0.09020482058103538,0.5637528653984913
2023-01-01 22:00:00,0.6440069589352295,0.6440069589352295
2023-01-01 22:15:00,0.7203554350811352,0.7203554350811352
2023-01-01 22:30:00,0.7927752233244307,0.7927752233244307
2023-01-01 22:45:00,0.8603206270726782,0.8603206270726782
2023-01-01 23:00:00,0.9233509358029864,0.9233509358029864
2023-01-01 23:15:00,0.9826129862982932,0.9826129862982932
2023-01-01 23:30:00,1.0364644306080606,1.0364644306080606
2023-01-01 23:45:00,1.0859973862365189,1.0859973862365189
